id,scrape_id,last_scraped,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,jurisdiction_names,instant_bookable
241032,2.01601E+13,04-01-2016,Stylish Queen Anne Apartment,956883,Maija,11-08-2011,"Seattle, Washington, United States",within a few hours,96%,100%,f,Queen Anne,3,3,"Gilman Dr W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63628904,-122.3710252,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$85.00 ,,,,,2,$5.00 ,1,365,207,95,10,10,10,10,9,10,WASHINGTON,f
953595,2.01601E+13,04-01-2016,Bright & Airy Queen Anne Apartment,5177328,Andrea,21-02-2013,"Seattle, Washington, United States",within an hour,98%,100%,t,Queen Anne,6,6,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63912312,-122.3656665,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,90,43,96,10,10,10,10,10,10,WASHINGTON,f
3308979,2.01601E+13,04-01-2016,New Modern House-Amazing water view,16708587,Jill,12-06-2014,"Seattle, Washington, United States",within a few hours,67%,100%,f,Queen Anne,2,2,"West Lee Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62972413,-122.3694832,House,Entire home/apt,11,4.5,5,7,Real Bed,,$975.00 ,,,"$1,000.00 ",$300.00 ,10,$25.00 ,4,30,20,97,10,10,10,10,10,10,WASHINGTON,f
7421966,2.01601E+13,04-01-2016,Queen Anne Chateau,9851441,Emily,06-11-2013,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"8th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.6384732,-122.3692791,Apartment,Entire home/apt,3,1,0,2,Real Bed,,$100.00 ,$650.00 ,"$2,300.00 ",,,1,$0.00 ,1,1125,0,,,,,,,,WASHINGTON,f
278830,2.01601E+13,04-01-2016,Charming craftsman 3 bdm house,1452570,Emily,29-11-2011,"Seattle, Washington, United States",within an hour,100%,N/A,f,Queen Anne,2,2,"14th Ave W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.6329184,-122.3724706,House,Entire home/apt,6,2,3,3,Real Bed,,$450.00 ,,,$700.00 ,$125.00 ,6,$15.00 ,1,1125,38,92,9,9,10,10,9,9,WASHINGTON,f
5956968,2.01601E+13,04-01-2016,Private unit in a 1920s mansion,326758,Andrew,25-12-2010,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"West Comstock Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63052548,-122.3661741,House,Private room,2,1,1,1,Real Bed,,$120.00 ,$800.00 ,,,$40.00 ,1,$30.00 ,1,6,17,95,10,10,10,10,10,10,WASHINGTON,f
1909058,2.01601E+13,04-01-2016,Queen Anne Private Bed and Bath,2497928,Gary And Beth,30-05-2012,"Seattle, Washington, United States",within an hour,100%,100%,t,Queen Anne,1,1,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63660545,-122.3685191,House,Private room,2,1,1,1,Real Bed,,$80.00 ,$575.00 ,,$150.00 ,,1,$10.00 ,3,14,58,99,10,10,10,10,10,10,WASHINGTON,f
856550,2.01601E+13,04-01-2016,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,30-10-2012,"Seattle, Washington, United States",within an hour,100%,100%,t,Queen Anne,5,5,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.64016054,-122.375856,Cabin,Private room,2,1,1,1,Real Bed,,$60.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7,173,97,10,10,10,10,9,10,WASHINGTON,f
4948745,2.01601E+13,04-01-2016,Urban Charm || Downtown || Views,2166277,Aliza,18-04-2012,"Seattle, Washington, United States",N/A,N/A,100%,f,Queen Anne,1,1,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98109,Seattle,"Seattle, WA",US,United States,47.6324103,-122.3572161,Apartment,Private room,2,1,1,1,Real Bed,,$90.00 ,$500.00 ,"$1,700.00 ",,,1,$0.00 ,3,1125,8,97,10,9,10,9,10,10,WASHINGTON,f
2493658,2.01601E+13,04-01-2016,Airy + Bright Queen Anne Apartment,5177328,Andrea,21-02-2013,"Seattle, Washington, United States",within an hour,98%,100%,t,Queen Anne,6,6,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63749172,-122.3668886,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,365,32,97,10,10,10,10,10,9,WASHINGTON,f
175576,2.01601E+13,04-01-2016,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,19-09-2010,"Seattle, Washington, United States",within a few hours,100%,100%,t,Queen Anne,1,1,"1st Ave W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63548171,-122.3584778,House,Entire home/apt,2,1,1,1,Real Bed,,$95.00 ,$595.00 ,,,$15.00 ,2,$15.00 ,3,7,181,97,10,10,10,10,10,10,WASHINGTON,f
4454295,2.01601E+13,04-01-2016,Upper Queen Anne Craftsman House,4606439,Nadia,06-01-2013,"Seattle, Washington, United States",within a few hours,100%,100%,f,Queen Anne,1,1,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,1,Real Bed,,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125,8,97,10,10,9,10,10,9,WASHINGTON,f
3883392,2.01601E+13,04-01-2016,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,13-08-2014,"Seattle, Washington, United States",within an hour,100%,100%,t,,1,1,"West Howe Street, Seattle, WA 98119, United States",,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63554551,-122.3731708,Apartment,Entire home/apt,4,1,2,3,Real Bed,,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14,13,98,10,10,10,10,10,10,WASHINGTON,f
8889257,2.01601E+13,04-01-2016,Elegance in Historic Queen Anne,25899989,Ellie,10-01-2015,"Kirkland, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"West Prospect Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,3,Real Bed,,$165.00 ,,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125,3,100,10,10,9,9,10,10,WASHINGTON,f
5680462,2.01601E+13,04-01-2016,Stunning 6 bd in THE BEST Location!,22372266,Sarah,10-10-2014,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,15,Real Bed,,$461.00 ,,,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29,18,98,9,10,10,10,10,10,WASHINGTON,t
8988178,2.01601E+13,04-01-2016,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,18-07-2012,"Seattle, Washington, United States",within a few hours,100%,100%,f,,1,1,"12th Avenue West, Seattle, WA 98119, United States",,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,2,Real Bed,,$109.00 ,,,,$89.00 ,1,$0.00 ,3,15,1,80,8,10,8,8,8,8,WASHINGTON,f
3245876,2.01601E+13,04-01-2016,Park Life in Lower Queen Anne,9465817,Libby,16-10-2013,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"West Mercer Place, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62620037,-122.3666019,Apartment,Private room,2,1,1,1,Real Bed,,$66.00 ,,,$100.00 ,$35.00 ,1,$25.00 ,1,10,84,95,10,9,10,10,10,9,WASHINGTON,f
